baseline_time,baseline_eval,eval_0.001s,error_0.001s,best_move_match_0.001s,eval_0.005s,error_0.005s,best_move_match_0.005s,eval_0.01s,error_0.01s,best_move_match_0.01s,eval_0.05s,error_0.05s,best_move_match_0.05s,eval_0.1s,error_0.1s,best_move_match_0.1s,eval_0.2s,error_0.2s,best_move_match_0.2s,eval_0.5s,error_0.5s,best_move_match_0.5s
1.0,0.66,0.78,0.12,True,0.78,0.12,True,0.75,0.08999999999999997,True,0.7,0.039999999999999925,True,0.82,0.15999999999999992,True,0.75,0.08999999999999997,True,0.79,0.13,True
1.0,1.39,1.38,-0.010000000000000009,True,1.24,-0.1499999999999999,True,1.13,-0.26,True,1.2,-0.18999999999999995,True,1.45,0.06000000000000005,True,1.43,0.040000000000000036,True,1.57,0.18000000000000016,True
1.0,0.97,0.93,-0.039999999999999925,True,1.01,0.040000000000000036,True,1.09,0.1200000000000001,True,0.97,0.0,True,0.92,-0.04999999999999993,True,0.95,-0.020000000000000018,True,0.82,-0.15000000000000002,True
1.0,0.84,0.87,0.030000000000000027,True,0.93,0.09000000000000008,True,0.85,0.010000000000000009,True,1.01,0.17000000000000004,True,0.96,0.12,True,0.99,0.15000000000000002,True,0.78,-0.05999999999999994,True
1.0,0.64,0.56,-0.07999999999999996,True,0.56,-0.07999999999999996,True,0.67,0.030000000000000027,True,0.68,0.040000000000000036,True,0.59,-0.050000000000000044,True,0.73,0.08999999999999997,True,0.65,0.010000000000000009,True
1.0,1.93,1.81,-0.11999999999999988,True,1.84,-0.08999999999999986,True,1.58,-0.34999999999999987,True,1.68,-0.25,True,1.69,-0.24,True,1.65,-0.28,True,1.93,0.0,True
1.0,1.79,2.0,0.20999999999999996,True,2.01,0.21999999999999975,True,2.1,0.31000000000000005,True,1.95,0.15999999999999992,True,1.82,0.030000000000000027,True,1.93,0.1399999999999999,True,1.95,0.15999999999999992,True
1.0,1.93,1.92,-0.010000000000000009,True,1.92,-0.010000000000000009,True,1.86,-0.06999999999999984,True,2.0,0.07000000000000006,True,1.83,-0.09999999999999987,True,1.83,-0.09999999999999987,True,1.96,0.030000000000000027,True
1.0,1.9,1.98,0.08000000000000007,True,1.99,0.09000000000000008,False,2.05,0.1499999999999999,True,1.84,-0.05999999999999983,True,1.96,0.06000000000000005,False,2.0,0.10000000000000009,False,2.07,0.16999999999999993,False
1.0,2.04,2.09,0.04999999999999982,True,2.09,0.04999999999999982,True,2.14,0.10000000000000009,True,2.1,0.06000000000000005,True,2.15,0.10999999999999988,True,1.93,-0.1100000000000001,True,1.91,-0.13000000000000012,True
1.0,0.67,0.74,0.06999999999999995,False,0.74,0.06999999999999995,True,0.78,0.10999999999999999,True,0.48,-0.19000000000000006,True,0.56,-0.10999999999999999,True,0.77,0.09999999999999998,True,0.6,-0.07000000000000006,True
1.0,0.97,0.77,-0.19999999999999996,True,0.77,-0.19999999999999996,True,0.76,-0.20999999999999996,True,0.81,-0.15999999999999992,True,0.84,-0.13,True,0.95,-0.020000000000000018,True,0.68,-0.2899999999999999,True
1.0,1.05,0.86,-0.19000000000000006,True,0.88,-0.17000000000000004,True,0.96,-0.09000000000000008,True,0.95,-0.10000000000000009,True,1.01,-0.040000000000000036,True,0.94,-0.1100000000000001,True,0.83,-0.22000000000000008,True
1.0,2.95,3.03,0.07999999999999963,True,3.07,0.11999999999999966,True,3.03,0.07999999999999963,True,3.01,0.05999999999999961,True,2.96,0.009999999999999787,True,2.98,0.029999999999999805,True,2.84,-0.11000000000000032,True
1.0,2.78,2.95,0.17000000000000037,True,3.01,0.22999999999999998,False,2.94,0.16000000000000014,True,3.04,0.26000000000000023,True,2.9,0.1200000000000001,False,3.01,0.22999999999999998,False,3.01,0.22999999999999998,True
1.0,7.15,7.43,0.27999999999999936,True,7.5,0.34999999999999964,True,7.48,0.33000000000000007,True,7.63,0.47999999999999954,True,7.24,0.08999999999999986,True,7.51,0.35999999999999943,True,7.61,0.45999999999999996,True
1.0,7.22,7.24,0.020000000000000462,True,7.25,0.03000000000000025,True,7.3,0.08000000000000007,True,7.15,-0.0699999999999994,True,7.34,0.1200000000000001,True,7.48,0.2600000000000007,True,7.35,0.1299999999999999,True
1.0,8.69,8.77,0.08000000000000007,True,8.77,0.08000000000000007,True,8.77,0.08000000000000007,True,8.66,-0.02999999999999936,True,8.84,0.15000000000000036,True,8.76,0.07000000000000028,True,8.74,0.05000000000000071,True
1.0,7.84,7.68,-0.16000000000000014,True,7.76,-0.08000000000000007,True,7.92,0.08000000000000007,True,7.76,-0.08000000000000007,True,7.84,0.0,True,7.84,0.0,True,7.92,0.08000000000000007,True
1.0,9.38,9.57,0.1899999999999995,True,9.32,-0.0600000000000005,True,9.38,0.0,True,9.46,0.08000000000000007,True,9.59,0.20999999999999908,True,9.61,0.22999999999999865,True,9.69,0.3099999999999987,True
1.0,7.93,7.8,-0.1299999999999999,True,8.08,0.15000000000000036,True,7.8,-0.1299999999999999,False,8.1,0.16999999999999993,False,8.02,0.08999999999999986,False,8.15,0.22000000000000064,False,8.07,0.14000000000000057,False
1.0,9.85,9.68,-0.16999999999999993,True,9.69,-0.16000000000000014,True,9.77,-0.08000000000000007,True,9.84,-0.009999999999999787,True,9.76,-0.08999999999999986,True,9.69,-0.16000000000000014,True,9.82,-0.02999999999999936,True
1.0,10.04,10.12,0.08000000000000007,True,10.12,0.08000000000000007,True,10.11,0.07000000000000028,True,10.13,0.09000000000000163,True,10.09,0.05000000000000071,True,10.18,0.14000000000000057,True,9.86,-0.17999999999999972,True
